rank,activation,architecture,sched_p1,sched_p2,sched_p3,l2_phase1,l2_phase2,l2_phase3,time_min,run
1,tanh,6x100,exponential_delayed,exponential_delayed,lbfgs,0.19657454187627027,0.11641153441655466,0.010993311890113959,2.74,tanh__6x100__exponential_delayed|exponential_delayed|lbfgs
2,tanh,7x50,cosine,exponential_delayed,lbfgs,0.05820543204580152,0.04578186312511209,0.043889937472788874,1.92,tanh__7x50__cosine|exponential_delayed|lbfgs
3,tanh,7x50,exponential_delayed,exponential,lbfgs,0.0479641370809734,0.04743823087951614,0.04415023947143536,1.85,tanh__7x50__exponential_delayed|exponential|lbfgs
4,tanh,7x50,exponential_delayed,exponential_delayed,lbfgs,0.0479641370809734,0.04773679731559549,0.04447040779231678,1.92,tanh__7x50__exponential_delayed|exponential_delayed|lbfgs
5,tanh,7x50,exponential_delayed,linear,lbfgs,0.0479641370809734,0.050896735901293295,0.04486452194011002,1.85,tanh__7x50__exponential_delayed|linear|lbfgs
6,tanh,7x50,cosine,cosine,lbfgs,0.05820543204580152,0.0455492203060405,0.04555014251194338,1.85,tanh__7x50__cosine|cosine|lbfgs
7,tanh,7x50,cosine,linear,lbfgs,0.05820543204580152,0.04602046324123916,0.04601956680339885,1.79,tanh__7x50__cosine|linear|lbfgs
8,tanh,7x50,cosine,exponential,lbfgs,0.05820543204580152,0.04626281702155193,0.046261832381991726,1.82,tanh__7x50__cosine|exponential|lbfgs
9,tanh,7x50,exponential_delayed,cosine,lbfgs,0.0479641370809734,0.0466537053550735,0.04665485022992712,1.59,tanh__7x50__exponential_delayed|cosine|lbfgs
10,tanh,7x50,linear,cosine,lbfgs,0.05774157306003826,0.0493413117884139,0.049342534455642156,1.69,tanh__7x50__linear|cosine|lbfgs
11,tanh,7x50,linear,exponential_delayed,lbfgs,0.05774157306003826,0.05096647276295785,0.04978882601771729,16.6,tanh__7x50__linear|exponential_delayed|lbfgs
12,tanh,7x50,linear,linear,lbfgs,0.05774157306003826,0.0508901019581362,0.050044244771223545,1.7,tanh__7x50__linear|linear|lbfgs
13,tanh,7x50,linear,exponential,lbfgs,0.05774157306003826,0.0504716107269373,0.05044588103569393,1.57,tanh__7x50__linear|exponential|lbfgs
14,tanh,7x50,exponential,cosine,lbfgs,0.0563667881628189,0.0505786059885399,0.05057986101704335,1.66,tanh__7x50__exponential|cosine|lbfgs
15,tanh,7x50,exponential,exponential,lbfgs,0.0563667881628189,0.05224472373360251,0.051017243255059554,1.73,tanh__7x50__exponential|exponential|lbfgs
16,tanh,7x50,exponential,exponential_delayed,lbfgs,0.0563667881628189,0.052771441107392084,0.051164659967707075,1.71,tanh__7x50__exponential|exponential_delayed|lbfgs
17,tanh,6x100,exponential,linear,lbfgs,0.06546783338669418,0.05270099421338961,0.05118516476890815,3.05,tanh__6x100__exponential|linear|lbfgs
18,tanh,6x100,exponential,exponential_delayed,lbfgs,0.06546783338669418,0.053045642394695815,0.05131901652928047,3.04,tanh__6x100__exponential|exponential_delayed|lbfgs
19,tanh,7x50,exponential,linear,lbfgs,0.0563667881628189,0.05349811412078854,0.0521215485583116,1.82,tanh__7x50__exponential|linear|lbfgs
20,tanh,6x100,exponential,exponential,lbfgs,0.06546783338669418,0.05399326452034288,0.05301222152414853,3.08,tanh__6x100__exponential|exponential|lbfgs
21,tanh,6x100,exponential,cosine,lbfgs,0.06546783338669418,0.054637986184453445,0.054638721374037254,2.96,tanh__6x100__exponential|cosine|lbfgs
22,tanh,6x100,linear,exponential_delayed,lbfgs,0.28520224472689326,0.15501922737697174,0.07689241793837927,3.44,tanh__6x100__linear|exponential_delayed|lbfgs
23,tanh,6x100,exponential_delayed,exponential,lbfgs,0.19657454187627027,0.12827609262382242,0.09208270609546121,3.27,tanh__6x100__exponential_delayed|exponential|lbfgs
24,tanh,6x100,linear,cosine,lbfgs,0.28520224472689326,0.20601469444951978,0.09413573837720264,3.37,tanh__6x100__linear|cosine|lbfgs
25,tanh,6x100,linear,exponential,lbfgs,0.28520224472689326,0.15964846241191016,0.09702836744946541,3.42,tanh__6x100__linear|exponential|lbfgs
26,tanh,6x100,linear,linear,lbfgs,0.28520224472689326,0.14391753364943916,0.1005271404238437,3.51,tanh__6x100__linear|linear|lbfgs
27,tanh,6x100,cosine,linear,lbfgs,0.3085174377047168,0.34755954252813304,0.10710851638867454,3.53,tanh__6x100__cosine|linear|lbfgs
28,tanh,6x100,exponential_delayed,linear,lbfgs,0.19657454187627027,0.1409977426212896,0.14105140552580273,2.93,tanh__6x100__exponential_delayed|linear|lbfgs
29,tanh,6x100,exponential_delayed,cosine,lbfgs,0.19657454187627027,0.15612171478580358,0.15612097437329361,2.64,tanh__6x100__exponential_delayed|cosine|lbfgs
30,tanh,6x100,cosine,exponential_delayed,lbfgs,0.3085174377047168,0.3265899647265772,0.32469114698782603,2.65,tanh__6x100__cosine|exponential_delayed|lbfgs
31,tanh,6x100,cosine,exponential,lbfgs,0.3085174377047168,0.32616984519905273,0.3261719169743907,2.65,tanh__6x100__cosine|exponential|lbfgs
32,tanh,6x100,cosine,cosine,lbfgs,0.3085174377047168,0.335372470965618,0.3353730150119462,2.93,tanh__6x100__cosine|cosine|lbfgs
