rank,activation,architecture,sched_p1,sched_p2,sched_p3,l2_phase1,l2_phase2,l2_phase3,time_min,run
1,tanh,7x50,exponential,exponential_delayed,lbfgs,0.018410876982244008,0.015970289225599225,0.01590369602316394,2.27,2d_tanh__7x50__exponential|exponential_delayed|lbfgs
2,tanh,7x50,exponential,exponential,lbfgs,0.018410876982244008,0.01594263122592779,0.01594455901064568,2.3,2d_tanh__7x50__exponential|exponential|lbfgs
3,tanh,7x50,exponential,linear,lbfgs,0.018410876982244008,0.016579312455466174,0.016592697006765827,2.29,2d_tanh__7x50__exponential|linear|lbfgs
4,tanh,7x50,exponential,cosine,lbfgs,0.018410876982244008,0.01758465985173651,0.01758465985173651,2.29,2d_tanh__7x50__exponential|cosine|lbfgs
5,tanh,7x50,cosine,linear,lbfgs,0.02251992114224627,0.018167564552952358,0.018131371821423554,2.3,2d_tanh__7x50__cosine|linear|lbfgs
6,tanh,7x50,cosine,exponential_delayed,lbfgs,0.02251992114224627,0.01953604493361223,0.019578812478424714,2.38,2d_tanh__7x50__cosine|exponential_delayed|lbfgs
7,tanh,7x50,cosine,exponential,lbfgs,0.02251992114224627,0.019790171881083358,0.019790171881083358,2.29,2d_tanh__7x50__cosine|exponential|lbfgs
8,tanh,7x50,cosine,cosine,lbfgs,0.02251992114224627,0.021525133948015168,0.021525133948015168,2.37,2d_tanh__7x50__cosine|cosine|lbfgs
9,tanh,7x50,exponential_delayed,exponential_delayed,lbfgs,0.025770204024909815,0.02316669672187175,0.02316349520015047,2.34,2d_tanh__7x50__exponential_delayed|exponential_delayed|lbfgs
10,tanh,7x50,exponential_delayed,exponential,lbfgs,0.025770204024909815,0.023474700075852176,0.02342160102676197,2.31,2d_tanh__7x50__exponential_delayed|exponential|lbfgs
11,tanh,7x50,exponential_delayed,linear,lbfgs,0.025770204024909815,0.023482161997931832,0.023478083260763206,2.33,2d_tanh__7x50__exponential_delayed|linear|lbfgs
12,tanh,7x50,exponential_delayed,cosine,lbfgs,0.025770204024909815,0.02486224472400559,0.02486224472400559,2.27,2d_tanh__7x50__exponential_delayed|cosine|lbfgs
13,tanh,7x50,linear,linear,lbfgs,0.033698232994617855,0.031421609476767996,0.031421609476767996,2.34,2d_tanh__7x50__linear|linear|lbfgs
14,tanh,7x50,linear,exponential_delayed,lbfgs,0.033698232994617855,0.03188740306161367,0.03188740306161367,2.34,2d_tanh__7x50__linear|exponential_delayed|lbfgs
15,tanh,7x50,linear,exponential,lbfgs,0.033698232994617855,0.03198917618842526,0.03198917618842526,2.24,2d_tanh__7x50__linear|exponential|lbfgs
16,tanh,7x50,linear,cosine,lbfgs,0.033698232994617855,0.03288097896989831,0.03288097896989831,2.31,2d_tanh__7x50__linear|cosine|lbfgs
17,tanh,6x100,linear,cosine,lbfgs,0.9998094283575785,0.9998112043441315,0.9998112043441315,4.22,2d_tanh__6x100__linear|cosine|lbfgs
18,tanh,6x100,linear,exponential,lbfgs,0.9998094283575785,0.9998174039703426,0.9998174039703426,4.22,2d_tanh__6x100__linear|exponential|lbfgs
19,tanh,6x100,linear,exponential_delayed,lbfgs,0.9998094283575785,0.9998184231225978,0.9998184231225978,4.22,2d_tanh__6x100__linear|exponential_delayed|lbfgs
20,tanh,6x100,linear,linear,lbfgs,0.9998094283575785,0.9998213090118323,0.9998213090118323,4.22,2d_tanh__6x100__linear|linear|lbfgs
21,tanh,6x100,exponential_delayed,cosine,lbfgs,0.9999864548102411,0.9999866626276647,0.9999866626276647,4.23,2d_tanh__6x100__exponential_delayed|cosine|lbfgs
22,tanh,6x100,exponential_delayed,exponential,lbfgs,0.9999864548102411,0.9999976010929202,0.9999976010929202,4.24,2d_tanh__6x100__exponential_delayed|exponential|lbfgs
23,tanh,6x100,exponential_delayed,exponential_delayed,lbfgs,0.9999864548102411,1.0000007203060768,1.0000007203060768,4.23,2d_tanh__6x100__exponential_delayed|exponential_delayed|lbfgs
24,tanh,6x100,exponential_delayed,linear,lbfgs,0.9999864548102411,1.0000010680725744,1.0000010680725744,4.23,2d_tanh__6x100__exponential_delayed|linear|lbfgs
25,tanh,6x100,cosine,linear,lbfgs,1.0000150564342392,1.0000193607687078,1.0000193607687078,4.22,2d_tanh__6x100__cosine|linear|lbfgs
26,tanh,6x100,exponential,linear,lbfgs,1.0000795136424634,1.0000364203118577,1.0000364203118577,4.24,2d_tanh__6x100__exponential|linear|lbfgs
27,tanh,6x100,cosine,exponential_delayed,lbfgs,1.0000150564342392,1.000037061578349,1.000037061578349,4.22,2d_tanh__6x100__cosine|exponential_delayed|lbfgs
28,tanh,6x100,cosine,exponential,lbfgs,1.0000150564342392,1.00003769561856,1.00003769561856,4.23,2d_tanh__6x100__cosine|exponential|lbfgs
29,tanh,6x100,cosine,cosine,lbfgs,1.0000150564342392,1.0000437081656337,1.0000437081656337,4.22,2d_tanh__6x100__cosine|cosine|lbfgs
30,tanh,6x100,exponential,exponential_delayed,lbfgs,1.0000795136424634,1.0000437749766589,1.0000437749766589,4.24,2d_tanh__6x100__exponential|exponential_delayed|lbfgs
31,tanh,6x100,exponential,exponential,lbfgs,1.0000795136424634,1.000047409649564,1.000047409649564,4.23,2d_tanh__6x100__exponential|exponential|lbfgs
32,tanh,6x100,exponential,cosine,lbfgs,1.0000795136424634,1.0000696953931085,1.0000696953931085,4.24,2d_tanh__6x100__exponential|cosine|lbfgs
